model,channel,anchor_family,n_edges,ordinary_whole_vector_coherence,residual_family_coherence,mean_residual_to_anchor_cosine,residual_coherence_improvement
bge_m3_1024d,cn_def,ROOT-514D,6,0.4999657273292541,0.4875127673149109,0.5361784249544144,-0.0124529600143432
bge_m3_1024d,cn_def,ROOT-5152,3,0.5384073257446289,0.574659526348114,0.4950922826925913,0.0362522006034851
bge_m3_1024d,cn_def,ROOT-5165,5,0.443702220916748,0.5019124746322632,0.5557163238525391,0.0582102537155151
bge_m3_1024d,cn_def,ROOT-5168,7,0.5152587890625,0.5617063641548157,0.5993469187191555,0.0464475750923156
bge_m3_1024d,cn_def,ROOT-5169,3,0.484081894159317,0.4883973598480224,0.5567209919293722,0.0043154656887054
bge_m3_1024d,cn_def,ROOT-516B,2,0.4205021858215332,0.3934664726257324,0.4767883569002151,-0.0270357131958007
bge_m3_1024d,cn_def,ROOT-516C,8,0.5126514434814453,0.5483854413032532,0.532520517706871,0.0357339978218078
bge_m3_1024d,cn_def,ROOT-5171,6,0.5848952531814575,0.596987783908844,0.6451592147350311,0.0120925307273864
bge_m3_1024d,cn_def,ROOT-5176,13,0.5008434653282166,0.4717050194740295,0.5227045737780057,-0.029138445854187
bge_m3_1024d,cn_def,ROOT-517C,10,0.4795689880847931,0.5025283098220825,0.5227245897054672,0.0229593217372894
bge_m3_1024d,cn_def,ROOT-5183,4,0.4884451329708099,0.5237595438957214,0.3884542062878608,0.0353144109249115
bge_m3_1024d,cn_def,ROOT-5189,2,0.5486354827880859,0.5281854867935181,0.6380323767662048,-0.0204499959945678
bge_m3_1024d,cn_def,ROOT-518A,2,0.4790341854095459,0.4858585596084595,0.4128717631101608,0.0068243741989135
bge_m3_1024d,cn_def,ROOT-518E,3,0.4251452982425689,0.4606131017208099,0.4059157172838847,0.0354678034782409
bge_m3_1024d,cn_def,ROOT-51A5,4,0.6011111736297607,0.6311269402503967,0.68421670794487,0.0300157666206359
bge_m3_1024d,cn_def,ROOT-51E0,5,0.4520692229270935,0.4837889671325683,0.5363403856754303,0.0317197442054748
bge_m3_1024d,cn_def,ROOT-51E1,9,0.4707444608211517,0.488242894411087,0.5053344104025099,0.0174984335899353
bge_m3_1024d,cn_def,ROOT-51F6,2,0.5704798698425293,0.669206976890564,0.4481312036514282,0.0987271070480346
bge_m3_1024d,cn_def,ROOT-51FA,4,0.6455118656158447,0.6219618916511536,0.5906220972537994,-0.0235499739646911
bge_m3_1024d,cn_def,ROOT-5200,15,0.5429288148880005,0.5727542042732239,0.5601389070351919,0.0298253893852233
bge_m3_1024d,cn_def,ROOT-5203,5,0.5402220487594604,0.5651942491531372,0.5224872469902039,0.0249722003936767
bge_m3_1024d,cn_def,ROOT-5206,16,0.5505670309066772,0.5565069913864136,0.5647718533873558,0.0059399604797363
bge_m3_1024d,cn_def,ROOT-5211,2,0.462825059890747,0.501044511795044,0.4782342314720154,0.0382194519042968
bge_m3_1024d,cn_def,ROOT-5229,2,0.4365725517272949,0.5155162811279297,0.5587385892868042,0.0789437294006347
bge_m3_1024d,cn_def,ROOT-5236,2,0.7329117059707642,0.5770277976989746,0.6122170090675354,-0.1558839082717895
bge_m3_1024d,cn_def,ROOT-5247,5,0.5583177804946899,0.5241181254386902,0.5486570239067078,-0.0341996550559997
