model,channel,anchor_family,rank_change_raw,rank_change_centered
bge_m3_1024d,cn_def,ROOT-6562,1590.0,3049.5
bge_m3_1024d,cn_def,ROOT-6563,1902.0,1401.5
bge_m3_1024d,cn_def,ROOT-6566,314.0,-219.0
bge_m3_1024d,cn_def,ROOT-6578,1797.0,2916.0
bge_m3_1024d,cn_def,ROOT-6587,1036.7777777777778,1327.888888888889
bge_m3_1024d,cn_def,ROOT-6597,1735.5,1646.0
bge_m3_1024d,cn_def,ROOT-65A4,1629.2,1338.9333333333334
bge_m3_1024d,cn_def,ROOT-65AC,543.75,916.0
bge_m3_1024d,cn_def,ROOT-65B0,1147.0,1318.0
bge_m3_1024d,cn_def,ROOT-65B9,1087.1333333333334,1280.3333333333333
bge_m3_1024d,cn_def,ROOT-65BC,1589.75,1587.0
bge_m3_1024d,cn_def,ROOT-65C1,1269.2,1881.0
bge_m3_1024d,cn_def,ROOT-65CB,2242.0,3379.0
bge_m3_1024d,cn_def,ROOT-65CF,370.3333333333333,295.0
bge_m3_1024d,cn_def,ROOT-65E6,914.3333333333334,935.3333333333334
bge_m3_1024d,cn_def,ROOT-65E8,1617.4,1011.0
bge_m3_1024d,cn_def,ROOT-65EC,817.25,1281.875
bge_m3_1024d,cn_def,ROOT-6606,1625.0,1578.4
bge_m3_1024d,cn_def,ROOT-660C,1132.2,1476.2
bge_m3_1024d,cn_def,ROOT-660E,-1664.0,-1885.0
bge_m3_1024d,cn_def,ROOT-660F,1621.0,2150.0
bge_m3_1024d,cn_def,ROOT-6613,2083.4285714285716,2211.714285714286
bge_m3_1024d,cn_def,ROOT-6614,2317.0,2599.0
bge_m3_1024d,cn_def,ROOT-661C,-633.0,-1311.0
bge_m3_1024d,cn_def,ROOT-661F,1104.5,708.25
bge_m3_1024d,cn_def,ROOT-6625,267.0,62.0
bge_m3_1024d,cn_def,ROOT-662F,1319.0,2054.6666666666665
bge_m3_1024d,cn_def,ROOT-6631,3.0,5.0
bge_m3_1024d,cn_def,ROOT-6649,455.0,791.0
bge_m3_1024d,cn_def,ROOT-66F0,1443.0,2478.0
bge_m3_1024d,cn_def,ROOT-66F4,1230.0,2453.0
bge_m3_1024d,cn_def,ROOT-66FC,1549.2,2192.0
