channel,relation_class,models,mean_offset_consistency,mean_forward_mrr,mean_inverse_mrr
cn_def,斤,4,0.08757637033704666,0.00234695805287225,0.010746744425930224
cn_def,日,4,0.211726521306102,0.025471976304802475,0.06121527073272595
cn_def,旨,4,,,
cn_def,是,4,,,
cn_def,曰,4,,,
cn_def,月,4,0.24833266390487546,0.02455329515699715,0.00495616347443055
cn_def,木,4,0.25078666921105386,0.010984233323024875,0.015967794115277302
cn_def,林,4,-0.06018347843200895,0.0012055254485794,0.001976338512535025
cn_def,欠,4,0.06548017777302963,0.0318987878565158,0.0873548538805757
cn_def,止,4,,,
cn_def,步,4,,,
cn_def,歹,4,0.2221074898684905,0.01052120780604425,0.00332823978978125
cn_def,死,4,,,
cn_def,殳,4,,,
cn_def,比,4,,,
cn_def,毛,4,0.1730993039091117,0.0025607470464475753,0.007398477542356275
cn_def,民,4,,,
cn_def,气,4,,,
cn_def,水,4,0.05113779392559077,0.00052333718421665,0.0028891192148116
cn_def,氵,4,0.23142112699405504,0.01370169800254545,0.0187915993309873
cn_def,火,4,0.24108143305380098,0.06318675960886418,0.0971491643083572
cn_def,灬,4,,,
cn_def,爪,4,,,
cn_def,爭,4,,,
cn_def,父,4,,,
cn_def,爿,4,,,
cn_def,片,4,,,
cn_def,牛,4,,,
cn_def,牜,4,0.09081310858018693,0.009536712411840875,0.0046609648489079
cn_def,犬,4,0.0558785569737665,0.023407145239661323,0.1271233583877891
cn_def,犭,4,0.1559291446132452,0.0029945496600238,0.008134374168356625
cn_def,玉,4,,,
cn_def,王,4,0.28317440264736826,0.019524485787259876,0.0101161003990228
cn_def,瓜,4,,,
cn_def,瓦,4,0.37563226744532585,0.042834493706107826,0.020227057800061975
cn_def,田,4,0.1696322233532555,0.054167213350392526,0.05421497930472967
cn_def,男,4,,,
cn_def,畢,4,,,
cn_def,疒,4,0.29311699708341615,0.00832522003176615,0.023266024725751927
cn_def,癶,4,,,
cn_def,白,4,0.21471389848738906,0.02126232407984185,0.004084289075606325
cn_def,皮,4,,,
cn_def,皿,4,0.2735824905749824,0.028749105957151525,0.003995453995907375
cn_def,目,4,0.3151835520911845,0.018514278602970825,0.00906461000466695
cn_def,矛,4,,,
cn_def,矢,4,0.0639336800668388,0.000666602799520525,0.0027236853273738502
cn_def,石,4,0.22215048166690393,0.00725306340588725,0.016432325385586574
cn_def,示,4,0.0272393648047,0.0027331115276971497,0.004795833246662125
cn_def,礻,4,0.22378521634964266,0.04110931156248105,0.0357932735791113
cn_def,禾,4,0.13645467022899532,0.007391663709546474,0.016658510573549473
cn_def,穴,4,0.10474814171902833,0.0014786256220009,0.006712481790289124
cn_def,立,4,-0.004150223074248074,0.001060227417728125,0.00326785453904595
cn_def,竹,4,0.27563489056635826,0.029642026035975873,0.03650009214185715
cn_def,箕,4,,,
cn_def,米,4,0.25135223681161944,0.00729580013842265,0.00270162526125325
cn_def,糸,4,0.23216263654246697,0.015671713656698876,0.0179434690539831
cn_def,縣,4,,,
cn_def,缶,4,,,
cn_def,网,4,,,
cn_def,羊,4,,,
cn_def,羽,4,0.10482055786165538,0.00242257629479015,0.007067431009048775
cn_def,習,4,,,
cn_def,老,4,,,
cn_def,耒,4,0.07806151453405613,0.002056014272657225,0.0015318179903619999
cn_def,耳,4,0.11862656155911577,0.007764738686959351,0.0014399326334761748
cn_def,肉,4,0.24872506519122534,0.004994027306005075,0.014226737049786626
cn_def,臣,4,,,
cn_def,臤,4,,,
cn_def,臥,4,,,
cn_def,自,4,,,
cn_def,至,4,,,
cn_def,舌,4,,,
cn_def,舟,4,0.3392487379411856,0.0971506672720648,0.07858008544764487
cn_def,艹,4,0.2743632639816135,0.0154997406461613,0.021444498628134502
cn_def,蕇,4,,,
cn_def,虍,4,,,
cn_def,虫,4,0.3501802779722345,0.00926197020723395,0.012888437062805276
cn_def,血,4,,,
cn_def,行,4,0.018139508040621852,0.000361694721658875,0.001220085557358075
cn_def,衣,4,0.19512133107689966,0.00090614060758875,0.0021571394210296
cn_def,衤,4,0.2804606122183887,0.00746058114014545,0.005679580964332426
cn_def,襾,4,,,
