relation_class,n_training_families,replicate,held_out_family,heldout_offset_cosine,model,channel
乙,1,8,ROOT-53C8,-0.0538318157196044,bge_m3_1024d,cn_def
乙,1,9,ROOT-5B5A,-0.0905324667692184,bge_m3_1024d,cn_def
乙,1,10,ROOT-624B,0.107172891497612,bge_m3_1024d,cn_def
乙,1,11,ROOT-53C8,0.107172891497612,bge_m3_1024d,cn_def
乙,1,12,ROOT-624B,-0.0905324667692184,bge_m3_1024d,cn_def
乙,1,13,ROOT-53C8,0.107172891497612,bge_m3_1024d,cn_def
乙,1,14,ROOT-624B,-0.0905324667692184,bge_m3_1024d,cn_def
乙,1,15,ROOT-624B,-0.0905324667692184,bge_m3_1024d,cn_def
乙,1,16,ROOT-5B5A,-0.0905324667692184,bge_m3_1024d,cn_def
乙,1,17,ROOT-624B,-0.0905324667692184,bge_m3_1024d,cn_def
乙,1,18,ROOT-53C8,-0.0538318157196044,bge_m3_1024d,cn_def
乙,1,19,ROOT-5B5A,-0.0905324667692184,bge_m3_1024d,cn_def
乙,1,20,ROOT-624B,-0.0905324667692184,bge_m3_1024d,cn_def
乙,1,21,ROOT-53C8,0.107172891497612,bge_m3_1024d,cn_def
乙,1,22,ROOT-53C8,0.107172891497612,bge_m3_1024d,cn_def
乙,1,23,ROOT-53C8,0.107172891497612,bge_m3_1024d,cn_def
乙,1,24,ROOT-5B5A,-0.0538318157196044,bge_m3_1024d,cn_def
乙,1,25,ROOT-53C8,-0.0538318157196044,bge_m3_1024d,cn_def
乙,1,26,ROOT-53C8,-0.0538318157196044,bge_m3_1024d,cn_def
乙,1,27,ROOT-624B,-0.0905324667692184,bge_m3_1024d,cn_def
乙,1,28,ROOT-5B5A,-0.0905324667692184,bge_m3_1024d,cn_def
乙,1,29,ROOT-53C8,0.107172891497612,bge_m3_1024d,cn_def
乙,2,0,ROOT-53C8,0.0471937507390975,bge_m3_1024d,cn_def
乙,2,1,ROOT-5B5A,-0.0996561795473098,bge_m3_1024d,cn_def
乙,2,2,ROOT-5B5A,-0.0996561795473098,bge_m3_1024d,cn_def
乙,2,3,ROOT-53C8,0.0471937507390975,bge_m3_1024d,cn_def
乙,2,4,ROOT-53C8,0.0471937507390975,bge_m3_1024d,cn_def
乙,2,5,ROOT-624B,0.0015051774680614,bge_m3_1024d,cn_def
乙,2,6,ROOT-624B,0.0015051774680614,bge_m3_1024d,cn_def
乙,2,7,ROOT-5B5A,-0.0996561795473098,bge_m3_1024d,cn_def
乙,2,8,ROOT-5B5A,-0.0996561795473098,bge_m3_1024d,cn_def
乙,2,9,ROOT-624B,0.0015051774680614,bge_m3_1024d,cn_def
乙,2,10,ROOT-53C8,0.0471937507390975,bge_m3_1024d,cn_def
乙,2,11,ROOT-624B,0.0015051774680614,bge_m3_1024d,cn_def
乙,2,12,ROOT-53C8,0.0471937507390975,bge_m3_1024d,cn_def
乙,2,13,ROOT-624B,0.0015051774680614,bge_m3_1024d,cn_def
乙,2,14,ROOT-5B5A,-0.0996561795473098,bge_m3_1024d,cn_def
乙,2,15,ROOT-53C8,0.0471937507390975,bge_m3_1024d,cn_def
乙,2,16,ROOT-624B,0.0015051774680614,bge_m3_1024d,cn_def
乙,2,17,ROOT-624B,0.0015051774680614,bge_m3_1024d,cn_def
乙,2,18,ROOT-53C8,0.0471937507390975,bge_m3_1024d,cn_def
乙,2,19,ROOT-5B5A,-0.0996561795473098,bge_m3_1024d,cn_def
乙,2,20,ROOT-53C8,0.0471937507390975,bge_m3_1024d,cn_def
乙,2,21,ROOT-53C8,0.0471937507390975,bge_m3_1024d,cn_def
乙,2,22,ROOT-624B,0.0015051774680614,bge_m3_1024d,cn_def
乙,2,23,ROOT-5B5A,-0.0996561795473098,bge_m3_1024d,cn_def
乙,2,24,ROOT-53C8,0.0471937507390975,bge_m3_1024d,cn_def
乙,2,25,ROOT-53C8,0.0471937507390975,bge_m3_1024d,cn_def
乙,2,26,ROOT-5B5A,-0.0996561795473098,bge_m3_1024d,cn_def
乙,2,27,ROOT-53C8,0.0471937507390975,bge_m3_1024d,cn_def
乙,2,28,ROOT-5B5A,-0.0996561795473098,bge_m3_1024d,cn_def
乙,2,29,ROOT-624B,0.0015051774680614,bge_m3_1024d,cn_def
二,1,0,ROOT-7AF9,-0.119978129863739,bge_m3_1024d,cn_def
二,1,1,ROOT-7AF9,-0.119978129863739,bge_m3_1024d,cn_def
二,1,2,ROOT-5315,-0.119978129863739,bge_m3_1024d,cn_def
二,1,3,ROOT-5315,-0.119978129863739,bge_m3_1024d,cn_def
二,1,4,ROOT-7AF9,-0.119978129863739,bge_m3_1024d,cn_def
二,1,5,ROOT-5315,-0.119978129863739,bge_m3_1024d,cn_def
二,1,6,ROOT-7AF9,-0.119978129863739,bge_m3_1024d,cn_def
二,1,7,ROOT-5315,-0.119978129863739,bge_m3_1024d,cn_def
二,1,8,ROOT-5315,-0.119978129863739,bge_m3_1024d,cn_def
