edge_row,derived_character,p_anchor,s_component_canonical,s_independent_character,conditions,conditions_improved,top1_rescues,top1_losses,mean_rank_change
EDGE-00029,釘,丁,釒,金,16,10,0,0,193.0625
EDGE-02950,圮,己,土,土,16,10,0,0,190.75
EDGE-00107,詛,且,言,言,16,10,0,0,189.4375
EDGE-02272,橈,堯,木,木,16,10,0,0,185.5625
EDGE-00688,創,倉,刂,刀,16,10,0,0,177.75
EDGE-03231,娣,弟,女,女,16,10,0,0,172.4375
EDGE-01222,勒,力,革,革,16,10,0,0,167.4375
EDGE-04971,泣,立,氵,水,16,10,0,0,160.3125
EDGE-03452,岐,支,山,山,16,10,0,0,157.125
EDGE-01654,岌,及,山,山,16,10,0,0,154.5625
EDGE-03139,幼,幺,力,力,16,10,0,0,144.9375
EDGE-03472,檄,敫,木,木,16,10,0,0,140.875
EDGE-05939,閩,門,虫,虫,16,10,0,0,138.4375
EDGE-00182,縫,逢,糸,糸,16,10,0,0,137.5625
EDGE-02742,踧,叔,𧾷,足,16,10,0,0,131.25
EDGE-01290,杓,勺,木,木,16,10,0,0,129.875
EDGE-00221,妙,少,女,女,16,10,0,0,121.625
EDGE-01144,詔,召,言,言,16,10,0,0,119.6875
EDGE-05244,鷂,䍃,鳥,鳥,16,10,0,0,117.75
EDGE-02220,掛,卦,扌,手,16,10,0,0,113.125
